replicate,area,mean,intden,rawintden,condition
1,389036.4509,1902.78277,740251856.5,1749020799,mr
2,271720.9317,1974.74755,536580245.2,1267817551,mr
3,323465.8447,1852.59072,599249822.2,1427080273,mr
4,267349.2093,2558.36658,683977281.1,1627251619,mr
1,264705.0752,2151.09213,569405003.9,1351348342,pbx3
2,71694.50088,2389.55591,171318018.6,408384664,pbx3
3,149970.8297,3151.69814,472662784.4,1122858647,pbx3
4,72598.97301,5407.6917,392592863.6,925315534,pbx3
5,126273.6782,3195.0517,403450929.8,958438828,pbx3
1,99237.47795,6.97112,691796.2509,1644229,meis1
2,98282.31512,992.40536,97535896.51,226137425,meis1
3,124564.2259,1484.06076,184860879.2,433112743,meis1
15,140821.4811,3616.6034,509295446.6,1204538694,meis1