Condition,Timepoint,Replicate,Clutch,Cells,Area_pixel,CPPixel,ppmicron,Area_micron,CPMicron,CPMm
uninjured,72hpa,1,20720,13,10566.708,0.001230279,1.54,4455.518637,0.00291773,2.917729912
uninjured,72hpa,2,20720,14,9898.202,0.001414398,1.54,4173.638894,0.003354387,3.354386989
uninjured,72hpa,3,20720,13,11149.927,0.001165927,1.54,4701.436583,0.002765112,2.765112274
uninjured,72hpa,4,20720,18,12215.739,0.001473509,1.54,5150.842891,0.003494574,3.494573681
uninjured,72hpa,5,20720,10,11060.069,0.000904153,1.54,4663.547394,0.00214429,2.14429042
uninjured,72hpa,6,20720,20,11323.703,0.001766207,1.54,4774.710322,0.004188736,4.188735787
uninjured,72hpa,7,20720,10,9007.202,0.001110223,1.54,3797.943161,0.002633004,2.633004123
uninjured,24hpa,1,20720,3,7825.86,0.000383344,1.54,3299.822904,0.00090914,0.909139698
uninjured,24hpa,2,20720,6,8930.271,0.000671872,1.54,3765.504723,0.001593412,1.593411891
uninjured,24hpa,3,20720,5,8566.617,0.000583661,1.54,3612.167735,0.00138421,1.38421036
uninjured,24hpa,4,20720,3,8343.584,0.000359558,1.54,3518.124473,0.000852727,0.852727077
uninjured,72hpa,1,22120,16,17516.026,0.000913449,1.54,7385.742115,0.002166336,2.166336131
uninjured,72hpa,2,22120,17,15383.536,0.001105078,1.54,6486.564345,0.002620802,2.620801875
uninjured,72hpa,3,22120,21,16428.929,0.001278233,1.54,6927.360853,0.003031457,3.031457498
uninjured,72hpa,4,22120,17,20112.155,0.00084526,1.54,8480.416175,0.002004619,2.0046186
uninjured,72hpa,5,22120,17,16499.449,0.001030337,1.54,6957.096053,0.002443548,2.443548266
tracer,72hpa,1,22120,21,15560.725,0.001349552,1.54,6561.277197,0.003200596,3.200596373
tracer,72hpa,2,22120,15,16123.231,0.000930335,1.54,6798.461376,0.002206382,2.206381587
tracer,72hpa,3,22120,30,16172.264,0.001855028,1.54,6819.136448,0.004399384,4.399384032
tracer,72hpa,4,22120,22,16807.7,0.001308924,1.54,7087.072019,0.003104244,3.104243888
tracer,72hpa,5,22120,18,23109.726,0.000778893,1.54,9744.360769,0.001847222,1.847222247
pbx3_VMO,72hpa,1,22120,15,15523.009,0.000966307,1.54,6545.374009,0.002291695,2.291694864
pbx3_VMO,72hpa,2,22120,15,12267.764,0.001222717,1.54,5172.779558,0.002899795,2.899794942
pbx3_VMO,72hpa,3,22120,10,13275.961,0.000753241,1.54,5597.89214,0.001786387,1.786386688
pbx3_VMO,72hpa,4,22120,12,12574.06,0.000954346,1.54,5301.931186,0.002263326,2.263326245
pbx3_VMO,72hpa,5,22120,14,14808.092,0.000945429,1.54,6243.924777,0.002242179,2.242179479
meis1_VMO,72hpa,1,22120,6,7020.169,0.00085468,1.54,2960.098246,0.00202696,2.02695975
meis1_VMO,72hpa,2,22120,7,8379.443,0.000835378,1.54,3533.244645,0.001981182,1.981181804
meis1_VMO,72hpa,3,22120,11,9350.769,0.001176374,1.54,3942.810339,0.002789888,2.78988819
meis1_VMO,72hpa,4,22120,9,8519.56,0.001056393,1.54,3592.325856,0.002505341,2.505340651
meis1_VMO,72hpa,5,22120,14,12432.022,0.001126124,1.54,5242.039973,0.002670716,2.670715995
uninjured,24hpa,1,22120,5,6990.299,0.000715277,1.54,2947.503373,0.001696351,1.6963509
uninjured,24hpa,2,22120,8,5740.11,0.001393702,1.54,2420.353348,0.003305303,3.305302512
uninjured,24hpa,3,22120,5,7464.304,0.000669855,1.54,3147.370552,0.001588628,1.588627687
tracer,24hpa,1,22120,5,5617.417,0.000890089,1.54,2368.619076,0.002110935,2.110934616
tracer,24hpa,2,22120,7,9264.48,0.000755574,1.54,3906.426041,0.001791919,1.791919244
tracer,24hpa,3,22120,5,7943.968,0.000629408,1.54,3349.623883,0.001492705,1.492704905
tracer,24hpa,4,22120,7,8373.486,0.000835972,1.54,3530.732839,0.001982591,1.982591241
tracer,24hpa,5,22120,10,10182.116,0.000982114,1.54,4293.353011,0.002329182,2.329181871
pbx3_VMO,24hpa,1,22120,5,8016.05,0.000623749,1.54,3380.01771,0.001479282,1.47928219
pbx3_VMO,24hpa,2,22120,5,6214.905,0.000804518,1.54,2620.553635,0.001907994,1.907993767
pbx3_VMO,24hpa,3,22120,4,6583.292,0.000607599,1.54,2775.886321,0.001440981,1.440981199
meis1_VMO,24hpa,1,22120,2,3526.223,0.000567179,1.54,1486.854023,0.001345122,1.345121962
meis1_VMO,24hpa,2,22120,2,7351.258,0.000272062,1.54,3099.703997,0.000645223,0.645222899
meis1_VMO,24hpa,3,22120,0,2485.71,0,1.54,1048.115196,0,0
meis1_VMO,24hpa,4,22120,4,4234.817,0.000944551,1.54,1785.637123,0.002240097,2.240096798