SampleID,Sample,Replicate,Clutch,Timepoint,Measurement,MeasureType,PhenotypeSum,PhenotypeNotocord,PhenotypeNeuron,PhenotypeMorphology,Stain
cntrl,cntrl,1,2,24hpa,197.17,Tail,211,2,1,1,NF_DAPI
cntrl,cntrl,2,2,24hpa,180.22,Tail,211,2,1,1,NF_DAPI
cntrl,cntrl,3,2,24hpa,209.28,Tail,211,2,1,1,NF_DAPI
cntrl,cntrl,4,2,24hpa,163.71,Tail,211,2,1,1,NF_DAPI
cntrl,cntrl,1,2,48hpa,535.24,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,2,2,48hpa,481.23,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,3,2,48hpa,485.23,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,4,2,48hpa,464.61,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,5,2,48hpa,211.07,Tail,113,1,1,3,NF_DAPI
cntrl,cntrl,1,2,72hpa,506.46,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,2,2,72hpa,646.28,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,3,2,72hpa,624.85,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,4,2,72hpa,666.2,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,5,2,72hpa,627.9,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,6,2,72hpa,541.79,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,1,2,24hpa,36.68,sc_width,211,2,1,1,NF_DAPI
cntrl,cntrl,2,2,24hpa,46.56,sc_width,211,2,1,1,NF_DAPI
cntrl,cntrl,3,2,24hpa,37.64,sc_width,211,2,1,1,NF_DAPI
cntrl,cntrl,4,2,24hpa,32.04,sc_width,211,2,1,1,NF_DAPI
cntrl,cntrl,1,2,48hpa,15.84,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,2,2,48hpa,16.03,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,3,2,48hpa,18.62,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,4,2,48hpa,25.88,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,5,2,48hpa,49.08,sc_width,113,1,1,3,NF_DAPI
cntrl,cntrl,1,2,72hpa,21.5,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,2,2,72hpa,30.36,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,3,2,72hpa,20.2,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,4,2,72hpa,21.94,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,5,2,72hpa,19.17,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,6,2,72hpa,17.96,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,1,2,24hpa,74.79,sc,211,2,1,1,NF_DAPI
cntrl,cntrl,2,2,24hpa,70.78,sc,211,2,1,1,NF_DAPI
cntrl,cntrl,3,2,24hpa,76.26,sc,211,2,1,1,NF_DAPI
cntrl,cntrl,4,2,24hpa,57.34,sc,211,2,1,1,NF_DAPI
cntrl,cntrl,1,2,48hpa,303.18,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,2,2,48hpa,310.65,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,3,2,48hpa,306.65,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,4,2,48hpa,194.55,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,5,2,48hpa,112.8,sc,113,1,1,3,NF_DAPI
cntrl,cntrl,1,2,72hpa,452.46,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,2,2,72hpa,550.87,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,3,2,72hpa,480.44,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,4,2,72hpa,448.07,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,5,2,72hpa,490.31,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,6,2,72hpa,459.13,sc,111,1,1,1,NF_DAPI
pbx3MO1,pbx3MO,1,2,24hpa,188.09,Tail,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,2,2,24hpa,207.03,Tail,211,2,1,1,NF_DAPI
pbx3MO1,pbx3MO,3,2,24hpa,127.14,Tail,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,4,2,24hpa,159.09,Tail,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,5,2,24hpa,158.64,Tail,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,6,2,24hpa,120.8,Tail,213,2,1,3,NF_DAPI
pbx3MO1,pbx3MO,7,2,24hpa,232,Tail,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,8,2,24hpa,136.42,Tail,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,9,2,24hpa,184.84,Tail,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,1,2,48hpa,323.06,Tail,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,2,2,48hpa,444.42,Tail,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,3,2,48hpa,503.71,Tail,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,4,2,48hpa,314.72,Tail,211,2,1,1,NF_DAPI
pbx3MO1,pbx3MO,5,2,48hpa,203.44,Tail,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,6,2,48hpa,358.15,Tail,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,7,2,48hpa,267.05,Tail,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,1,2,72hpa,157.23,Tail,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,2,2,72hpa,159.48,Tail,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,3,2,72hpa,198.24,Tail,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,4,2,72hpa,196.64,Tail,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,5,2,72hpa,235.42,Tail,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,6,2,72hpa,109.99,Tail,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,7,2,72hpa,306.92,Tail,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,8,2,72hpa,383.15,Tail,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,9,2,72hpa,443.57,Tail,211,2,1,1,NF_DAPI
pbx3MO1,pbx3MO,10,2,72hpa,246.06,Tail,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,1,2,24hpa,74.79,sc,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,2,2,24hpa,68.59,sc,211,2,1,1,NF_DAPI
pbx3MO1,pbx3MO,3,2,24hpa,72.02,sc,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,4,2,24hpa,70.26,sc,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,5,2,24hpa,70.77,sc,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,6,2,24hpa,65.28,sc,213,2,1,3,NF_DAPI
pbx3MO1,pbx3MO,7,2,24hpa,80.63,sc,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,8,2,24hpa,71.34,sc,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,9,2,24hpa,99.31,sc,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,1,2,48hpa,144.7,sc,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,2,2,48hpa,120.75,sc,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,3,2,48hpa,227.19,sc,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,4,2,48hpa,124.77,sc,211,2,1,1,NF_DAPI
pbx3MO1,pbx3MO,5,2,48hpa,74.86,sc,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,6,2,48hpa,115.4,sc,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,7,2,48hpa,145.05,sc,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,1,2,72hpa,86.79,sc,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,2,2,72hpa,91.4,sc,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,3,2,72hpa,132.55,sc,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,4,2,72hpa,97.4,sc,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,5,2,72hpa,125.43,sc,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,6,2,72hpa,60.56,sc,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,7,2,72hpa,131.12,sc,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,8,2,72hpa,219.59,sc,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,9,2,72hpa,128.73,sc,211,2,1,1,NF_DAPI
pbx3MO1,pbx3MO,10,2,72hpa,155.74,sc,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,1,2,24hpa,34.08,sc_width,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,2,2,24hpa,51,sc_width,211,2,1,1,NF_DAPI
pbx3MO1,pbx3MO,3,2,24hpa,52.48,sc_width,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,4,2,24hpa,43.09,sc_width,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,5,2,24hpa,47.18,sc_width,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,6,2,24hpa,43.01,sc_width,213,2,1,3,NF_DAPI
pbx3MO1,pbx3MO,7,2,24hpa,46.01,sc_width,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,8,2,24hpa,48.52,sc_width,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,9,2,24hpa,34.53,sc_width,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,1,2,48hpa,14.89,sc_width,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,2,2,48hpa,29.25,sc_width,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,3,2,48hpa,38.86,sc_width,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,4,2,48hpa,37.55,sc_width,211,2,1,1,NF_DAPI
pbx3MO1,pbx3MO,5,2,48hpa,42.24,sc_width,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,6,2,48hpa,27.31,sc_width,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,7,2,48hpa,34.94,sc_width,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,1,2,72hpa,37.61,sc_width,214,2,1,4,NF_DAPI
pbx3MO1,pbx3MO,2,2,72hpa,40.74,sc_width,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,3,2,72hpa,49.3,sc_width,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,4,2,72hpa,48.3,sc_width,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,5,2,72hpa,46.7,sc_width,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,6,2,72hpa,36.14,sc_width,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,7,2,72hpa,39.72,sc_width,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,8,2,72hpa,38.21,sc_width,212,2,1,2,NF_DAPI
pbx3MO1,pbx3MO,9,2,72hpa,57.76,sc_width,211,2,1,1,NF_DAPI
pbx3MO1,pbx3MO,10,2,72hpa,41.44,sc_width,212,2,1,2,NF_DAPI
cntrl,cntrl,1,1,48hpa,506.02,Tail,101,1,0,1,DAPI
cntrl,cntrl,2,1,48hpa,527.69,Tail,101,1,0,1,DAPI
cntrl,cntrl,3,1,48hpa,446.95,Tail,101,1,0,1,DAPI
cntrl,cntrl,4,1,48hpa,555.29,Tail,101,1,0,1,DAPI
cntrl,cntrl,5,1,48hpa,475.91,Tail,101,1,0,1,DAPI
cntrl,cntrl,6,1,48hpa,406.48,Tail,101,1,0,1,DAPI
cntrl,cntrl,7,1,48hpa,385,Tail,101,1,0,1,DAPI
cntrl,cntrl,8,1,48hpa,527.81,Tail,101,1,0,1,DAPI
cntrl,cntrl,9,1,48hpa,544.87,Tail,101,1,0,1,DAPI
cntrl,cntrl,10,1,48hpa,415.75,Tail,101,1,0,1,DAPI
pbx3MO1,pbx3MO,1,1,48hpa,356.05,Tail,204,2,0,4,DAPI
pbx3MO1,pbx3MO,2,1,48hpa,391.25,Tail,202,2,0,2,DAPI
pbx3MO1,pbx3MO,3,1,48hpa,221.52,Tail,202,2,0,2,DAPI
pbx3MO1,pbx3MO,4,1,48hpa,305.36,Tail,202,2,0,2,DAPI
pbx3MO1,pbx3MO,5,1,48hpa,288.55,Tail,202,2,0,2,DAPI
pbx3MO1,pbx3MO,6,1,48hpa,325.02,Tail,202,2,0,2,DAPI
pbx3MO1,pbx3MO,7,1,48hpa,398.17,Tail,202,2,0,2,DAPI
pbx3MO1,pbx3MO,8,1,48hpa,247.54,Tail,202,2,0,2,DAPI
meis1MO1,meis1MO,1,1,48hpa,244.85,Tail,202,2,0,2,DAPI
meis1MO1,meis1MO,2,1,48hpa,328.43,Tail,201,2,0,1,DAPI
meis1MO1,meis1MO,3,1,48hpa,192.25,Tail,202,2,0,2,DAPI
meis1MO1,meis1MO,4,1,48hpa,403.29,Tail,201,2,0,1,DAPI
meis1MO1,meis1MO,5,1,48hpa,285.63,Tail,202,2,0,2,DAPI
cntrl,cntrl,1,1,48hpa,313.94,sc,101,1,0,1,DAPI
cntrl,cntrl,2,1,48hpa,271.39,sc,101,1,0,1,DAPI
cntrl,cntrl,3,1,48hpa,300.06,sc,101,1,0,1,DAPI
cntrl,cntrl,4,1,48hpa,370.85,sc,101,1,0,1,DAPI
cntrl,cntrl,5,1,48hpa,228,sc,101,1,0,1,DAPI
cntrl,cntrl,6,1,48hpa,220.28,sc,101,1,0,1,DAPI
cntrl,cntrl,7,1,48hpa,290.06,sc,101,1,0,1,DAPI
cntrl,cntrl,8,1,48hpa,329.43,sc,101,1,0,1,DAPI
cntrl,cntrl,9,1,48hpa,302.25,sc,101,1,0,1,DAPI
cntrl,cntrl,10,1,48hpa,220.05,sc,101,1,0,1,DAPI
pbx3MO1,pbx3MO,1,1,48hpa,169.5,sc,204,2,0,4,DAPI
pbx3MO1,pbx3MO,2,1,48hpa,209.16,sc,202,2,0,2,DAPI
pbx3MO1,pbx3MO,3,1,48hpa,80.38,sc,202,2,0,2,DAPI
pbx3MO1,pbx3MO,4,1,48hpa,245.45,sc,202,2,0,2,DAPI
pbx3MO1,pbx3MO,5,1,48hpa,175.55,sc,202,2,0,2,DAPI
pbx3MO1,pbx3MO,6,1,48hpa,261.06,sc,202,2,0,2,DAPI
pbx3MO1,pbx3MO,7,1,48hpa,171.9,sc,202,2,0,2,DAPI
pbx3MO1,pbx3MO,8,1,48hpa,177.46,sc,202,2,0,2,DAPI
meis1MO1,meis1MO,1,1,48hpa,71.88,sc,202,2,0,2,DAPI
meis1MO1,meis1MO,2,1,48hpa,168.11,sc,201,2,0,1,DAPI
meis1MO1,meis1MO,3,1,48hpa,75.6,sc,202,2,0,2,DAPI
meis1MO1,meis1MO,4,1,48hpa,152.35,sc,201,2,0,1,DAPI
meis1MO1,meis1MO,5,1,48hpa,131.88,sc,202,2,0,2,DAPI
cntrl,cntrl,1,1,48hpa,25.66,sc_width,101,1,0,1,DAPI
cntrl,cntrl,2,1,48hpa,35.77,sc_width,101,1,0,1,DAPI
cntrl,cntrl,3,1,48hpa,37.61,sc_width,101,1,0,1,DAPI
cntrl,cntrl,4,1,48hpa,26.69,sc_width,101,1,0,1,DAPI
cntrl,cntrl,5,1,48hpa,25.32,sc_width,101,1,0,1,DAPI
cntrl,cntrl,6,1,48hpa,20.54,sc_width,101,1,0,1,DAPI
cntrl,cntrl,7,1,48hpa,18.31,sc_width,101,1,0,1,DAPI
cntrl,cntrl,8,1,48hpa,22.09,sc_width,101,1,0,1,DAPI
cntrl,cntrl,9,1,48hpa,23.13,sc_width,101,1,0,1,DAPI
cntrl,cntrl,10,1,48hpa,36.72,sc_width,101,1,0,1,DAPI
pbx3MO1,pbx3MO,1,1,48hpa,70.88,sc_width,204,2,0,4,DAPI
pbx3MO1,pbx3MO,2,1,48hpa,47.74,sc_width,202,2,0,2,DAPI
pbx3MO1,pbx3MO,3,1,48hpa,46.24,sc_width,202,2,0,2,DAPI
pbx3MO1,pbx3MO,4,1,48hpa,31.6,sc_width,202,2,0,2,DAPI
pbx3MO1,pbx3MO,5,1,48hpa,41.91,sc_width,202,2,0,2,DAPI
pbx3MO1,pbx3MO,6,1,48hpa,70.02,sc_width,202,2,0,2,DAPI
pbx3MO1,pbx3MO,7,1,48hpa,68.13,sc_width,202,2,0,2,DAPI
pbx3MO1,pbx3MO,8,1,48hpa,80.15,sc_width,202,2,0,2,DAPI
meis1MO1,meis1MO,1,1,48hpa,75.83,sc_width,202,2,0,2,DAPI
meis1MO1,meis1MO,2,1,48hpa,62.76,sc_width,201,2,0,1,DAPI
meis1MO1,meis1MO,3,1,48hpa,52.42,sc_width,202,2,0,2,DAPI
meis1MO1,meis1MO,4,1,48hpa,71.91,sc_width,201,2,0,1,DAPI
meis1MO1,meis1MO,5,1,48hpa,63.91,sc_width,202,2,0,2,DAPI
meis1MO1,meis1MO,1,3,24hpa,50.98,Tail,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,2,3,24hpa,62.4,Tail,214,2,1,4,NF_DAPI
meis1MO1,meis1MO,3,3,24hpa,57.21,Tail,214,2,1,4,NF_DAPI
meis1MO1,meis1MO,1,3,48hpa,58.29,Tail,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,2,3,48hpa,54.98,Tail,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,3,3,48hpa,90.3,Tail,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,1,3,72hpa,94.46,Tail,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,2,3,72hpa,141.28,Tail,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,3,3,72hpa,102.58,Tail,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,4,3,72hpa,116.59,Tail,212,2,1,2,NF_DAPI
cntrl,cntrl,1,3,24hpa,115.01,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,2,3,24hpa,112.3,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,3,3,24hpa,144.05,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,4,3,24hpa,145.65,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,5,3,24hpa,145.9,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,6,3,24hpa,156.79,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,1,3,48hpa,120.24,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,2,3,48hpa,269.45,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,3,3,48hpa,250.75,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,4,3,48hpa,292.52,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,5,3,48hpa,205.13,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,6,3,48hpa,290.32,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,7,3,48hpa,299.85,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,1,3,72hpa,464.23,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,2,3,72hpa,408.68,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,3,3,72hpa,462.07,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,4,3,72hpa,593.91,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,5,3,72hpa,538.47,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,6,3,72hpa,562.45,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,7,3,72hpa,410.66,Tail,111,1,1,1,NF_DAPI
cntrl,cntrl,8,3,72hpa,549.3,Tail,111,1,1,1,NF_DAPI
meis1MO1,meis1MO,1,3,24hpa,78.31,sc,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,2,3,24hpa,143.16,sc,214,2,1,4,NF_DAPI
meis1MO1,meis1MO,3,3,24hpa,143.83,sc,214,2,1,4,NF_DAPI
meis1MO1,meis1MO,1,3,48hpa,153.45,sc,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,2,3,48hpa,216,sc,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,3,3,48hpa,133.79,sc,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,1,3,72hpa,188.8,sc,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,2,3,72hpa,461.39,sc,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,3,3,72hpa,172.86,sc,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,4,3,72hpa,194.37,sc,212,2,1,2,NF_DAPI
cntrl,cntrl,1,3,24hpa,299.86,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,2,3,24hpa,281.65,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,3,3,24hpa,330.75,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,4,3,24hpa,345.16,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,5,3,24hpa,368.56,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,6,3,24hpa,330.95,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,1,3,48hpa,307.42,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,2,3,48hpa,413.53,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,3,3,48hpa,448.6,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,4,3,48hpa,486.76,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,5,3,48hpa,475.42,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,6,3,48hpa,393.71,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,7,3,48hpa,474.67,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,1,3,72hpa,563.26,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,2,3,72hpa,524.05,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,3,3,72hpa,586.44,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,4,3,72hpa,707.48,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,5,3,72hpa,666.18,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,6,3,72hpa,669.85,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,7,3,72hpa,548.82,sc,111,1,1,1,NF_DAPI
cntrl,cntrl,8,3,72hpa,680.27,sc,111,1,1,1,NF_DAPI
meis1MO1,meis1MO,1,3,24hpa,29.13,sc_width,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,2,3,24hpa,49.05,sc_width,214,2,1,4,NF_DAPI
meis1MO1,meis1MO,3,3,24hpa,51.56,sc_width,214,2,1,4,NF_DAPI
meis1MO1,meis1MO,1,3,48hpa,64.33,sc_width,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,2,3,48hpa,55.31,sc_width,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,3,3,48hpa,27.9,sc_width,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,1,3,72hpa,70.12,sc_width,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,2,3,72hpa,46.17,sc_width,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,3,3,72hpa,42.74,sc_width,212,2,1,2,NF_DAPI
meis1MO1,meis1MO,4,3,72hpa,49.47,sc_width,212,2,1,2,NF_DAPI
cntrl,cntrl,1,3,24hpa,64.53,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,2,3,24hpa,56.76,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,3,3,24hpa,41.15,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,4,3,24hpa,30.92,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,5,3,24hpa,46.86,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,6,3,24hpa,46.88,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,1,3,48hpa,28.07,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,2,3,48hpa,27.25,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,3,3,48hpa,25.56,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,4,3,48hpa,21.86,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,5,3,48hpa,21.15,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,6,3,48hpa,20.59,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,7,3,48hpa,25.29,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,1,3,72hpa,17.33,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,2,3,72hpa,20.52,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,3,3,72hpa,17.95,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,4,3,72hpa,22.56,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,5,3,72hpa,19.31,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,6,3,72hpa,17.4,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,7,3,72hpa,21.92,sc_width,111,1,1,1,NF_DAPI
cntrl,cntrl,8,3,72hpa,27.61,sc_width,111,1,1,1,NF_DAPI
